"((1, 1), (3, 1))",[-311.63816637 -315.12198586 -317.79491096 -309.35889166]
"((0, 1), (3, 1))",[-315.81151529 -314.06391261 -312.37889887 -314.53459179]
"((0, 6), (4, 1))",[0. 0. 0. 0.]
"((0, 4), (4, 2))",[-304.70633733 -307.44198928 -308.93197621 -303.80883889]
"((1, 4), (4, 2))",[-304.72851165 -304.8716917  -304.97762371 -302.11950434]
"((2, 4), (4, 2))",[-303.77913517 -297.47604798 -507.5        -297.62324539]
"((0, 5), (4, 2))",[-296.5063347  -303.30716248 -303.9447018  -510.        ]
"((1, 5), (4, 2))",[-301.59645584 -301.1982605  -298.52120013 -509.5       ]
"((2, 5), (4, 2))",[-298.46839751 -293.10023088 -298.42273047 -509.        ]
"((3, 4), (4, 2))",[-295.82867492 -295.23870275 -507.         -294.68482382]
"((1, 6), (4, 1))",[0. 0. 0. 0.]
"((3, 3), (2, 1))",[0. 0. 0. 0.]
"((4, 2), (2, 2))",[-291.28107622 -288.45694308 -294.29883669 -762.75      ]
"((4, 1), (2, 2))",[-292.62818075 -295.37450539 -289.50097577 -294.36333759]
"((4, 0), (2, 2))",[-288.54778973 -289.88670995 -289.64050133 -292.81326775]
"((3, 3), (2, 2))",[0. 0. 0. 0.]
"((2, 2), (3, 2))",[-308.03823755 -306.09167327 -306.18171478 -507.5       ]
"((1, 2), (3, 2))",[-303.59446094 -307.15152076 -302.73368737 -302.85785263]
"((0, 2), (3, 2))",[-301.68581978 -304.95956029 -303.25615398 -298.91101581]
"((0, 6), (4, 2))",[0. 0. 0. 0.]
"((5, 3), (3, 2))",[0. 0. 0. 0.]
"((2, 3), (2, 1))",[0. 0. 0. 0.]
"((1, 6), (4, 2))",[0. 0. 0. 0.]
"((2, 3), (3, 1))",[0. 0. 0. 0.]
"((3, 5), (4, 1))",[-305.43739393 -304.87948224 -305.48238535 -509.5       ]
"((4, 4), (4, 1))",[-308.8368369  -309.07927396 -507.5        -303.59100256]
"((4, 3), (2, 1))",[0. 0. 0. 0.]
"((1, 3), (3, 1))",[-304.30338281 -508.5        -298.32082681 -300.74204639]
"((0, 3), (3, 1))",[-297.7202415  -304.25646057 -306.01832836 -300.57733567]
"((4, 2), (1, 2))",[-267.762658   -265.86561893 -270.45866252 -509.5       ]
"((4, 1), (1, 2))",[-267.83468187 -263.53682477 -262.11748665 -266.49980161]
"((4, 0), (1, 2))",[-263.53143126 -262.61173536 -261.89400891 -262.32930361]
"((3, 3), (1, 2))",[0. 0. 0. 0.]
"((2, 3), (3, 2))",[0. 0. 0. 0.]
"((5, 2), (2, 2))",[-292.55062526 -287.77820748 -291.44412342 -509.        ]
"((5, 1), (2, 2))",[-293.30017366 -291.37541743 -287.78019381 -293.8404593 ]
"((5, 0), (2, 2))",[-284.47373679 -281.57646676 -281.57646676 -288.72705135]
"((4, 3), (2, 2))",[0. 0. 0. 0.]
"((0, 4), (3, 1))",[-295.46294899 -299.0230607  -292.56999513 -293.87149043]
"((1, 4), (3, 1))",[-293.88019213 -296.05840415 -294.79120437 -297.84230132]
"((2, 4), (3, 1))",[-295.27366997 -289.080207   -508.5        -289.28089878]
"((0, 5), (3, 1))",[-293.19319698 -297.2010205  -289.76522432 -511.        ]
"((1, 5), (3, 1))",[-294.15291727 -293.2711896  -300.00739645 -510.5       ]
"((2, 5), (3, 1))",[-294.9295249  -285.33793113 -288.97064632 -510.        ]
"((3, 4), (3, 1))",[-287.32341716 -285.41580435 -508.         -286.70120472]
"((5, 1), (1, 1))",[-298.39285821 -296.3962808  -294.79471601 -294.41580765]
"((5, 0), (1, 1))",[-293.5507193  -293.19319698 -300.67074499 -298.52956264]
"((5, 2), (1, 1))",[-292.71355342 -293.19319698 -295.65027957 -511.        ]
